StandardAnalyte,StationName,SampleDate,SampleType,SourceType,AnalysisGroup,SampleMedia,StandardResult,StandardUnit,FinalQualifier,StandardDetLimit
"Lead, dissolved",FE-A35,4/5/16,Primary,S,Metals,SW,0.1,ug/L,1,0.2
"Magnesium, dissolved",FE-A35,4/5/16,Primary,S,Metals,SW,3170,ug/L,1,250
"Manganese, dissolved",FE-A35,4/5/16,Primary,S,Metals,SW,573,ug/L,1,5
"Molybdenum, dissolved",FE-A35,4/5/16,Primary,S,Metals,SW,1,ug/L,1,1
"Nickel, dissolved",FE-A35,4/5/16,Primary,S,Metals,SW,0.5,ug/L,1,1
"Potassium, dissolved",FE-A35,4/5/16,Primary,S,Metals,SW,534,ug/L,1,1000
"Selenium, dissolved",FE-A35,4/5/16,Primary,S,Metals,SW,1,ug/L,1,2
"Silver, dissolved",FE-A35,4/5/16,Primary,S,Metals,SW,0.5,ug/L,1,1
"Sodium, dissolved",FE-A35,4/5/16,Primary,S,Metals,SW,1380,ug/L,1,1000
"Thallium, dissolved",FE-A35,4/5/16,Primary,S,Metals,SW,1,ug/L,1,2
"Vanadium, dissolved",FE-A35,4/5/16,Primary,S,Metals,SW,2,ug/L,1,3
"Zinc, dissolved",FE-A35,4/5/16,Primary,S,Metals,SW,828,ug/L,1,20
"Aluminum, total",FE-A35,4/5/16,Primary,S,Metals,SW,834,ug/L,1,50
"Antimony, total",FE-A35,4/5/16,Primary,S,Metals,SW,2.5,ug/L,1,5
"Arsenic, total",FE-A35,4/5/16,Primary,S,Metals,SW,2.5,ug/L,1,10
"Barium, total",FE-A35,4/5/16,Primary,S,Metals,SW,25,ug/L,1,50
"Beryllium, total",FE-A35,4/5/16,Primary,S,Metals,SW,2,ug/L,1,5
"Cadmium, total",FE-A35,4/5/16,Primary,S,Metals,SW,2.93,ug/L,1,1
"Calcium, total",FE-A35,4/5/16,Primary,S,Metals,SW,51200,ug/L,1,250
"Chromium, total",FE-A35,4/5/16,Primary,S,Metals,SW,5,ug/L,1,10
"Cobalt, total",FE-A35,4/5/16,Primary,S,Metals,SW,0.936,ug/L,1,1
"Copper, total",FE-A35,4/5/16,Primary,S,Metals,SW,72.8,ug/L,1,5
"Iron, total",FE-A35,4/5/16,Primary,S,Metals,SW,407,ug/L,1,250
"Lead, total",FE-A35,4/5/16,Primary,S,Metals,SW,2.5,ug/L,1,1
"Magnesium, total",FE-A35,4/5/16,Primary,S,Metals,SW,3330,ug/L,1,250
"Manganese, total",FE-A35,4/5/16,Primary,S,Metals,SW,579,ug/L,1,5
"Molybdenum, total",FE-A35,4/5/16,Primary,S,Metals,SW,5,ug/L,1,5
"Nickel, total",FE-A35,4/5/16,Primary,S,Metals,SW,2.5,ug/L,1,5
"Potassium, total",FE-A35,4/5/16,Primary,S,Metals,SW,525,ug/L,1,1000
"Selenium, total",FE-A35,4/5/16,Primary,S,Metals,SW,5,ug/L,1,10
"Silver, total",FE-A35,4/5/16,Primary,S,Metals,SW,2.5,ug/L,1,5
"Sodium, total",FE-A35,4/5/16,Primary,S,Metals,SW,1500,ug/L,1,1000
"Thallium, total",FE-A35,4/5/16,Primary,S,Metals,SW,8.2,ug/L,1,10
"Vanadium, total",FE-A35,4/5/16,Primary,S,Metals,SW,10,ug/L,1,15
"Zinc, total",FE-A35,4/5/16,Primary,S,Metals,SW,837,ug/L,1,20
"Aluminum, total",FE-A35,5/4/16,Primary,S,Metals,SW,905,ug/L,1,50
"Antimony, total",FE-A35,5/4/16,Primary,S,Metals,SW,2.5,ug/L,1,5
"Arsenic, total",FE-A35,5/4/16,Primary,S,Metals,SW,2.5,ug/L,1,10
"Barium, total",FE-A35,5/4/16,Primary,S,Metals,SW,25,ug/L,1,50
"Beryllium, total",FE-A35,5/4/16,Primary,S,Metals,SW,2,ug/L,1,5
"Cadmium, total",FE-A35,5/4/16,Primary,S,Metals,SW,2.11,ug/L,1,1
"Calcium, total",FE-A35,5/4/16,Primary,S,Metals,SW,27500,ug/L,1,250
"Chromium, total",FE-A35,5/4/16,Primary,S,Metals,SW,5,ug/L,1,10
"Cobalt, total",FE-A35,5/4/16,Primary,S,Metals,SW,0.602,ug/L,1,1
"Copper, total",FE-A35,5/4/16,Primary,S,Metals,SW,110,ug/L,1,5
"Iron, total",FE-A35,5/4/16,Primary,S,Metals,SW,611,ug/L,1,250
"Lead, total",FE-A35,5/4/16,Primary,S,Metals,SW,9.2,ug/L,1,1
"Magnesium, total",FE-A35,5/4/16,Primary,S,Metals,SW,1940,ug/L,1,250
"Manganese, total",FE-A35,5/4/16,Primary,S,Metals,SW,483,ug/L,1,5
"Molybdenum, total",FE-A35,5/4/16,Primary,S,Metals,SW,5,ug/L,1,5
"Nickel, total",FE-A35,5/4/16,Primary,S,Metals,SW,2.5,ug/L,1,5
"Potassium, total",FE-A35,5/4/16,Primary,S,Metals,SW,450,ug/L,1,1000
"Selenium, total",FE-A35,5/4/16,Primary,S,Metals,SW,5,ug/L,1,10
"Silver, total",FE-A35,5/4/16,Primary,S,Metals,SW,2.5,ug/L,1,5
"Sodium, total",FE-A35,5/4/16,Primary,S,Metals,SW,926,ug/L,1,1000
"Thallium, total",FE-A35,5/4/16,Primary,S,Metals,SW,9.86,ug/L,1,10
"Vanadium, total",FE-A35,5/4/16,Primary,S,Metals,SW,10,ug/L,1,15
"Zinc, total",FE-A35,5/4/16,Primary,S,Metals,SW,654,ug/L,1,20
"Aluminum, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,89.6,ug/L,1,50
"Antimony, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,0.5,ug/L,1,1
"Arsenic, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,0.5,ug/L,1,2
"Barium, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,7.72,ug/L,1,10
"Beryllium, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,2,ug/L,1,5
"Cadmium, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,1.95,ug/L,1,0.2
"Calcium, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,27100,ug/L,1,250
"Chromium, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,1,ug/L,1,2
"Cobalt, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,0.534,ug/L,1,0.2
"Copper, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,33.5,ug/L,1,1
"Hardness as CaCO3, D",FE-A35,5/4/16,Primary,S,General Chemistry,SW,76000,ug/L,1,2000
"Iron, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,100,ug/L,1,250
"Lead, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,1.14,ug/L,1,0.2
"Magnesium, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,1900,ug/L,1,250
"Manganese, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,420,ug/L,1,5
"Molybdenum, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,1,ug/L,1,1
"Nickel, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,0.5,ug/L,1,1
"Potassium, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,449,ug/L,1,1000
"Selenium, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,1,ug/L,1,2
"Silver, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,0.5,ug/L,1,1
"Sodium, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,933,ug/L,1,1000
"Thallium, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,1,ug/L,1,2
"Vanadium, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,2,ug/L,1,3
"Zinc, dissolved",FE-A35,5/4/16,Primary,S,Metals,SW,552,ug/L,1,20
"Aluminum, total",FE-A35,6/7/16,Primary,S,Metals,SW,631,ug/L,1,50
"Antimony, total",FE-A35,6/7/16,Primary,S,Metals,SW,2.5,ug/L,1,5
"Arsenic, total",FE-A35,6/7/16,Primary,S,Metals,SW,2.5,ug/L,1,10
"Beryllium, total",FE-A35,6/7/16,Primary,S,Metals,SW,2,ug/L,1,5
"Cadmium, total",FE-A35,6/7/16,Primary,S,Metals,SW,1.36,ug/L,1,1
"Calcium, total",FE-A35,6/7/16,Primary,S,Metals,SW,15900,ug/L,1,250
"Chromium, total",FE-A35,6/7/16,Primary,S,Metals,SW,5,ug/L,1,10
"Copper, total",FE-A35,6/7/16,Primary,S,Metals,SW,14.3,ug/L,1,5
"Iron, total",FE-A35,6/7/16,Primary,S,Metals,SW,495,ug/L,1,250
"Lead, total",FE-A35,6/7/16,Primary,S,Metals,SW,11.5,ug/L,1,1
"Magnesium, total",FE-A35,6/7/16,Primary,S,Metals,SW,1400,ug/L,1,250
"Manganese, total",FE-A35,6/7/16,Primary,S,Metals,SW,636,ug/L,1,5
"Nickel, total",FE-A35,6/7/16,Primary,S,Metals,SW,2.5,ug/L,1,5
"Selenium, total",FE-A35,6/7/16,Primary,S,Metals,SW,5,ug/L,1,10
"Silica, total",FE-A35,6/7/16,Primary,S,Metals,SW,4860,ug/L,1,1000
"Silver, total",FE-A35,6/7/16,Primary,S,Metals,SW,2.5,ug/L,1,5
"Strontium, total",FE-A35,6/7/16,Primary,S,Metals,SW,135,ug/L,1,10
"Thallium, total",FE-A35,6/7/16,Primary,S,Metals,SW,7.93,ug/L,1,10
"Zinc, total",FE-A35,6/7/16,Primary,S,Metals,SW,401,ug/L,1,20
"Aluminum, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,60.5,ug/L,1,50
"Antimony, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,0.5,ug/L,1,1
"Arsenic, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,0.5,ug/L,1,2
"Beryllium, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,2,ug/L,1,5
"Cadmium, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,1.31,ug/L,1,0.2
"Calcium, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,16100,ug/L,1,250
"Chromium, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,1,ug/L,1,2
"Copper, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,5.87,ug/L,1,1
Hardness as CaCO3,FE-A35,6/7/16,Primary,S,General Chemistry,SW,46000,ug/L,1,2000
"Iron, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,100,ug/L,1,250
"Lead, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,0.42,ug/L,1,0.2
"Magnesium, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,1330,ug/L,1,250
"Manganese, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,538,ug/L,1,5
"Nickel, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,0.5,ug/L,1,1
"Selenium, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,1,ug/L,1,2
"Silica, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,3890,ug/L,1,1000
"Silver, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,0.5,ug/L,1,1
"Strontium, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,133,ug/L,1,10
"Thallium, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,1,ug/L,1,2
"Zinc, dissolved",FE-A35,6/7/16,Primary,S,Metals,SW,374,ug/L,1,20
Total Alkalinity,FE-A35,6/7/16,Primary,S,General Chemistry,SW,13200,ug/L,1,10000
"Aluminum, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,60.9,ug/L,1,50
"Aluminum, total",FE-A35,9/29/16,Primary,S,Metals,SW,916,ug/L,1,50
"Antimony, total",FE-A35,9/29/16,Primary,S,Metals,SW,2.5,ug/L,1,5
"Antimony, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.5,ug/L,1,1
"Arsenic, total",FE-A35,9/29/16,Primary,S,Metals,SW,2.5,ug/L,1,10
"Arsenic, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.5,ug/L,1,2
"Beryllium, total",FE-A35,9/29/16,Primary,S,Metals,SW,2,ug/L,1,5
"Beryllium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,2,ug/L,1,5
"Cadmium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,2.47,ug/L,1,0.2
"Cadmium, total",FE-A35,9/29/16,Primary,S,Metals,SW,2.52,ug/L,1,1
"Calcium, total",FE-A35,9/29/16,Primary,S,Metals,SW,52100,ug/L,1,250
"Calcium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,49100,ug/L,1,250
"Chromium, total",FE-A35,9/29/16,Primary,S,Metals,SW,5,ug/L,1,10
"Chromium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,1,ug/L,1,2
"Copper, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,5.04,ug/L,1,1
"Copper, total",FE-A35,9/29/16,Primary,S,Metals,SW,20.8,ug/L,1,5
"Hardness as CaCO3, D",FE-A35,9/29/16,Primary,S,General Chemistry,SW,139000,ug/L,1,2000
"Iron, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,100,ug/L,1,250
"Iron, total",FE-A35,9/29/16,Primary,S,Metals,SW,134,ug/L,1,250
"Lead, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.152,ug/L,1,0.2
"Lead, total",FE-A35,9/29/16,Primary,S,Metals,SW,3.23,ug/L,1,1
"Magnesium, total",FE-A35,9/29/16,Primary,S,Metals,SW,4010,ug/L,1,250
"Magnesium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,3930,ug/L,1,250
"Manganese, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,1990,ug/L,1,5
"Manganese, total",FE-A35,9/29/16,Primary,S,Metals,SW,2070,ug/L,1,5
"Nickel, total",FE-A35,9/29/16,Primary,S,Metals,SW,2.5,ug/L,1,5
"Nickel, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.5,ug/L,1,1
"Selenium, total",FE-A35,9/29/16,Primary,S,Metals,SW,5,ug/L,1,10
"Selenium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,1,ug/L,1,2
"Silica, total",FE-A35,9/29/16,Primary,S,Metals,SW,5820,ug/L,1,1000
"Silica, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,5570,ug/L,1,1000
"Silver, total",FE-A35,9/29/16,Primary,S,Metals,SW,2.5,ug/L,1,5
"Silver, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.5,ug/L,1,1
"Strontium, total",FE-A35,9/29/16,Primary,S,Metals,SW,412,ug/L,1,10
"Strontium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,407,ug/L,1,10
"Thallium, total",FE-A35,9/29/16,Primary,S,Metals,SW,5,ug/L,1,10
"Thallium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,1,ug/L,1,2
Total Alkalinity,FE-A35,9/29/16,Primary,S,General Chemistry,SW,21300,ug/L,1,10000
"Zinc, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,662,ug/L,1,20
"Zinc, total",FE-A35,9/29/16,Primary,S,Metals,SW,730,ug/L,1,20
"Aluminum, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,30,ug/L,U,30
"Aluminum, total",FE-A35,9/29/16,Primary,S,Metals,SW,840,ug/L,2,30
"Antimony, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Antimony, total",FE-A35,9/29/16,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-A35,9/29/16,Primary,S,Metals,SW,0.4,ug/L,2,0.2
"Barium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,15.7,ug/L,2,0.5
"Barium, total",FE-A35,9/29/16,Primary,S,Metals,SW,16,ug/L,2,0.5
"Beryllium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-A35,9/29/16,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,2.5,ug/L,2,0.1
"Cadmium, total",FE-A35,9/29/16,Primary,S,Metals,SW,2.5,ug/L,2,0.1
"Calcium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,47500,ug/L,2,100
"Calcium, total",FE-A35,9/29/16,Primary,S,Metals,SW,50800,ug/L,2,100
Cation-Anion Balance,FE-A35,9/29/16,Primary,S,General Chemistry,SW,-1.7,%,2,-9999
"Chromium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Chromium, total",FE-A35,9/29/16,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Cobalt, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.78,ug/L,J+,0.05
"Cobalt, total",FE-A35,9/29/16,Primary,S,Metals,SW,0.86,ug/L,2,0.05
"Copper, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,5,ug/L,J+,0.5
"Copper, total",FE-A35,9/29/16,Primary,S,Metals,SW,17.9,ug/L,2,0.5
"Hardness as CaCO3, T",FE-A35,9/29/16,Primary,S,General Chemistry,SW,142000,ug/L,2,200
"Iron, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-A35,9/29/16,Primary,S,Metals,SW,100,ug/L,J+,20
"Lead, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.2,ug/L,2,0.1
"Lead, total",FE-A35,9/29/16,Primary,S,Metals,SW,3.2,ug/L,2,0.1
"Lithium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-A35,9/29/16,Primary,S,Metals,SW,8,ug/L,U,8
"Magnesium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,3700,ug/L,2,200
"Magnesium, total",FE-A35,9/29/16,Primary,S,Metals,SW,3800,ug/L,2,200
"Manganese, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,1990,ug/L,2,5
"Manganese, total",FE-A35,9/29/16,Primary,S,Metals,SW,1930,ug/L,2,5
"Mercury, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Mercury, total",FE-A35,9/29/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Molybdenum, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.6,ug/L,2,0.5
"Molybdenum, total",FE-A35,9/29/16,Primary,S,Metals,SW,0.7,ug/L,2,0.5
"Nickel, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,1.9,ug/L,2,0.6
"Nickel, total",FE-A35,9/29/16,Primary,S,Metals,SW,2.1,ug/L,2,0.6
"Potassium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,600,ug/L,2,200
"Potassium, total",FE-A35,9/29/16,Primary,S,Metals,SW,500,ug/L,2,200
"TDS, measured",FE-A35,9/29/16,Primary,S,Physical,SW,214000,ug/L,2,10000
TSS,FE-A35,9/29/16,Primary,S,Physical,SW,5000,ug/L,U,5000
"Selenium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Selenium, total",FE-A35,9/29/16,Primary,S,Metals,SW,0.3,ug/L,J+,0.1
"Silica, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,5100,ug/L,2,200
"Silica, total",FE-A35,9/29/16,Primary,S,Metals,SW,5500,ug/L,J-,200
"Silver, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Silver, total",FE-A35,9/29/16,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Sodium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,1300,ug/L,2,200
"Sodium, total",FE-A35,9/29/16,Primary,S,Metals,SW,1300,ug/L,2,200
"Strontium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,362,ug/L,2,5
"Strontium, total",FE-A35,9/29/16,Primary,S,Metals,SW,360,ug/L,2,5
Sum of Anions,FE-A35,9/29/16,Primary,S,General Chemistry,SW,3,meq/L,2,-9999
Sum of Cations,FE-A35,9/29/16,Primary,S,General Chemistry,SW,2.9,meq/L,2,-9999
"Thallium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Thallium, total",FE-A35,9/29/16,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-A35,9/29/16,Primary,S,General Chemistry,SW,20300,ug/L,2,2000
"Vanadium, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Vanadium, total",FE-A35,9/29/16,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Zinc, dissolved",FE-A35,9/29/16,Primary,S,Metals,SW,590,ug/L,2,10
"Zinc, total",FE-A35,9/29/16,Primary,S,Metals,SW,670,ug/L,2,10
"Oxygen, Dissolved",FE-A35,9/29/16,Field Measurement,S,Physical,SW,8970,ug/L,1,-9999
ORP,FE-A35,9/29/16,Field Measurement,S,Physical,SW,289.5,mV,1,-9999
pH,FE-A35,9/29/16,Field Measurement,S,Physical,SW,7.11,SU,1,-9999
Specific Conductance,FE-A35,9/29/16,Field Measurement,S,Physical,SW,3135.8,uS/cm,1,-9999
Temperature,FE-A35,9/29/16,Field Measurement,S,Physical,SW,5.298,C,1,-9999
"Aluminum, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,80.3,ug/L,2,20
"Aluminum, total",FE-A35,5/17/17,Primary,S,Metals,SW,312,ug/L,2,20
"Arsenic, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,0.5,ug/L,2,0.5
"Arsenic, total",FE-A35,5/17/17,Primary,S,Metals,SW,2.5,ug/L,2,2.5
"Beryllium, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,2,ug/L,2,2
"Beryllium, total",FE-A35,5/17/17,Primary,S,Metals,SW,2,ug/L,2,2
"Cadmium, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,1.53,ug/L,2,0.1
"Cadmium, total",FE-A35,5/17/17,Primary,S,Metals,SW,1.65,ug/L,2,0.5
"Calcium, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,16500,ug/L,2,100
"Calcium, total",FE-A35,5/17/17,Primary,S,Metals,SW,17000,ug/L,2,100
"Chromium, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,1,ug/L,2,1
"Chromium, total",FE-A35,5/17/17,Primary,S,Metals,SW,5,ug/L,2,5
"Copper, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,17.6,ug/L,2,0.5
"Copper, total",FE-A35,5/17/17,Primary,S,Metals,SW,28.3,ug/L,2,2.5
"Hardness as CaCO3, D",FE-A35,5/17/17,Primary,S,General Chemistry,SW,47000,ug/L,2,2000
"Iron, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,100,ug/L,2,100
"Iron, total",FE-A35,5/17/17,Primary,S,Metals,SW,177,ug/L,2,100
"Lead, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,1.12,ug/L,2,0.1
"Lead, total",FE-A35,5/17/17,Primary,S,Metals,SW,3.25,ug/L,2,0.5
"Magnesium, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,1310,ug/L,2,100
"Magnesium, total",FE-A35,5/17/17,Primary,S,Metals,SW,1350,ug/L,2,100
"Manganese, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,403,ug/L,2,2
"Manganese, total",FE-A35,5/17/17,Primary,S,Metals,SW,430,ug/L,2,2
"Nickel, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,0.5,ug/L,2,0.5
"Nickel, total",FE-A35,5/17/17,Primary,S,Metals,SW,2.5,ug/L,2,2.5
"Selenium, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,1,ug/L,2,1
"Selenium, total",FE-A35,5/17/17,Primary,S,Metals,SW,5,ug/L,2,5
"Silica, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,4420,ug/L,2,250
"Silica, total",FE-A35,5/17/17,Primary,S,Metals,SW,4440,ug/L,2,250
"Silver, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,0.5,ug/L,2,0.5
"Silver, total",FE-A35,5/17/17,Primary,S,Metals,SW,2.5,ug/L,2,2.5
"Strontium, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,118,ug/L,2,2
"Strontium, total",FE-A35,5/17/17,Primary,S,Metals,SW,126,ug/L,2,2
"Thallium, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,1,ug/L,2,1
"Thallium, total",FE-A35,5/17/17,Primary,S,Metals,SW,7.53,ug/L,2,5
Total Alkalinity,FE-A35,5/17/17,Primary,S,General Chemistry,SW,15600,ug/L,2,5000
"Zinc, dissolved",FE-A35,5/17/17,Primary,S,Metals,SW,459,ug/L,2,10
"Zinc, total",FE-A35,5/17/17,Primary,S,Metals,SW,466,ug/L,2,10
"Aluminum, total",FE-A40,6/9/15,Primary,S,Metals,SW,323,ug/L,1,20
"Aluminum, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,53.1,ug/L,1,20
"Antimony, total",FE-A40,6/9/15,Primary,S,Metals,SW,5,ug/L,U,2.5
"Antimony, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,1,ug/L,U,0.5
"Arsenic, total",FE-A40,6/9/15,Primary,S,Metals,SW,10,ug/L,U,2.5
"Arsenic, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,2,ug/L,U,2.5
"Barium, total",FE-A40,6/9/15,Primary,S,Metals,SW,50,ug/L,U,5
"Barium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,8.56,ug/L,J,5
"Beryllium, total",FE-A40,6/9/15,Primary,S,Metals,SW,5,ug/L,U,2
"Beryllium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,5,ug/L,U,2
"Cadmium, total",FE-A40,6/9/15,Primary,S,Metals,SW,1.42,ug/L,J,0.1
"Cadmium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,1.7,ug/L,1,0.1
"Calcium, total",FE-A40,6/9/15,Primary,S,Metals,SW,17100,ug/L,1,100
"Calcium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,17900,ug/L,1,100
"Chromium, total",FE-A40,6/9/15,Primary,S,Metals,SW,10,ug/L,U,1
"Chromium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,2,ug/L,U,1
"Cobalt, total",FE-A40,6/9/15,Primary,S,Metals,SW,1,ug/L,U,0.1
"Cobalt, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,0.282,ug/L,1,0.1
"Copper, total",FE-A40,6/9/15,Primary,S,Metals,SW,18.8,ug/L,J,2.5
"Copper, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,9.35,ug/L,1,2.5
Hardness as CaCO3,FE-A40,6/9/15,Primary,S,General Chemistry,SW,50000,ug/L,1,2000
"Iron, total",FE-A40,6/9/15,Primary,S,Metals,SW,142,ug/L,J,100
"Iron, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,250,ug/L,U,100
"Lead, total",FE-A40,6/9/15,Primary,S,Metals,SW,10.1,ug/L,J,0.5
"Lead, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,1.32,ug/L,1,0.5
"Magnesium, total",FE-A40,6/9/15,Primary,S,Metals,SW,1430,ug/L,1,100
"Magnesium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,1360,ug/L,1,100
"Manganese, total",FE-A40,6/9/15,Primary,S,Metals,SW,557,ug/L,1,2
